domain,url
1library.net,https://1library.net/article/solubility-farming-processing-stategies-improving-poultry-meat-quality.y4m63jky?msclkid=c31da752ceec11eca87e58e732e98364
3pbio.com,https://3pbio.com/services/microbial-cdmo/microbial-analytical-methods-qualification/?msclkid=057e45accefa11ec8be6cddae15cf66d
3pbio.com,https://3pbio.com/services/microbial-cdmo/microbial-analytical-methods-qualification/?msclkid=13c445dbcefa11ec8b75b4bb9f36a10a
908devices.com,https://908devices.com/applications/protein-characterization/?msclkid=85c38cf0cef211ec8b2dd04cfc49750d
99bitcoins.com,https://99bitcoins.com/bitcoin-exchanges/cex-io-review/?msclkid=1e4abb7bcefd11ec902231f7fc600a50
99bitcoins.com,https://99bitcoins.com/bitcoin-exchanges/cex-io-review/?msclkid=306f5075cefd11ecb171d57ae3974050
99bitcoins.com,https://99bitcoins.com/bitcoin-exchanges/cex-io-review/?msclkid=4499b8becefd11ec9dfe74c50777ea2f
aad.portal.azure.com,https://aad.portal.azure.com/?msclkid=1f8784d3cee511ec984bb59f1ae5d129
aad.portal.azure.com,https://aad.portal.azure.com/?msclkid=acbde5e4cee811eca812842842e90e86
aad.portal.azure.com,https://aad.portal.azure.com/?msclkid=b9bbddc4cee811ec9a6cddddd9a8eeea
aatbs.com,https://aatbs.com/counseling/nce?msclkid=7ee8dc37ceea11eca17424de15d671bc
abaqus-docs.mit.edu,https://abaqus-docs.mit.edu/2017/English/SIMACAEMATRefMap/simamat-c-viscosity.htm?msclkid=1ee38ee4ceed11eca89388f77c681ba4
abzena.com,https://abzena.com/manufacturing/bioconjugates-manufacturing/manufacturing-capabilities/?msclkid=27cd0976cee711ec90f68e3396f96f47
abzena.com,https://abzena.com/manufacturing/bioconjugates-manufacturing/manufacturing-capabilities/?msclkid=46d1ae5fcee711ec86dbc142644bbe95
abzena.com,https://abzena.com/manufacturing/bioconjugates-manufacturing/manufacturing-capabilities/?msclkid=bab366aeceef11ec93086b324835291e
academicjournals.org,https://academicjournals.org/article/article1379242725_Reddy%20et%20al.pdf?msclkid=8200ee40cefd11ec8fd90da3c0a8e9c5
access.clarivate.com,https://access.clarivate.com/login?app=endnote
access.clarivate.com,https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https%3A%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=http%3A%2F%2Fwww.webofknowledge.com%2F%3Fmsclkid%3D292ba932cee511ec93411ed8c2e03956&referrer=msclkid%3D292ba932cee511ec93411ed8c2e03956&roaming=true
access.clarivate.com,https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https%3A%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=http%3A%2F%2Fwww.webofknowledge.com%2F%3Fmsclkid%3Da2178934cee811ecac2e9d22033e9d45&referrer=msclkid%3Da2178934cee811ecac2e9d22033e9d45&roaming=true
access.clarivate.com,https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https%3A%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=http%3A%2F%2Fwww.webofknowledge.com%2F%3Fmsclkid%3Deb6c8654cee811eca0c18e62d1299996&referrer=msclkid%3Deb6c8654cee811eca0c18e62d1299996&roaming=true
access.clarivate.com,https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https%3A%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https%3A%2F%2Fwww.webofknowledge.com%2F%3Fmsclkid%3Dd488fa3dcee811ec9f72289e74f2dd03&referrer=msclkid%3Dd488fa3dcee811ec9f72289e74f2dd03&roaming=true
accessiblemeds.org,https://accessiblemeds.org/sites/default/files/2019-11/Xiaohui_%28Jeff%29_Jiang_GRxBiosims2019.pdf?msclkid=5881ec05ceee11ecb1e4f651671ba4fa
accr.natboard.edu.in,https://accr.natboard.edu.in/online_user/frontpage.php?v=1&msclkid=edd9745ccee911eca9a6195bfcfc93ea
acs.figshare.com,https://acs.figshare.com/articles/journal_contribution/Enabling_Rapid_and_Accurate_Construction_of_CCSD_T_-Level_Potential_Energy_Surface_of_Large_Molecules_Using_Molecular_Tailoring_Approach/19182391/1?msclkid=731f7eb6cee411ec99c0644257da6692
acs.figshare.com,https://acs.figshare.com/articles/journal_contribution/Proton_Hydrogen_Transfer_Mechanisms_in_the_Guanine_Cytosine_Base_Pair_Photostability_and_Tautomerism/2454349/1?msclkid=8eeb0501cef911ecb64a028c329c56fa
acuraanalytical.com,https://acuraanalytical.com/analytical-capabilities/?msclkid=e7669b03cef911ec9a32831b773c7ad3
acuraanalytical.com,https://acuraanalytical.com/analytical-capabilities/?msclkid=f6a1a358cef911ec875d7705a41453f3
adarepharmasolutions.com,https://adarepharmasolutions.com/manufacturing/commercial-scale-manufacturing/?msclkid=0467a653ceef11eca33474fe9ceb5ff7
adelphi-hp.com,https://adelphi-hp.com/product-range/schott-adaptiq-sterile-injection-vials?msclkid=038449d7ceec11ec840d7c325a34f3b6
adelphi-hp.com,https://adelphi-hp.com/product-range/schott-adaptiq-sterile-injection-vials?msclkid=f5b57a5bceeb11ec8e49f423cda80331
aetsoft.net,https://aetsoft.net/services/smart-contracts/?msclkid=d4e128c6cee511eca73c8b447c05a290
aetsoft.net,https://aetsoft.net/services/smart-contracts/?msclkid=e29d2146cee511ec9f35e1b7abe3787f
agrojournal.org,https://agrojournal.org/26/06-24.pdf?msclkid=30dd0df3cef511ecb225218cce9ec47b
agrojournal.org,https://agrojournal.org/26/06-24.pdf?msclkid=59ef38cecef511ecb7b62b4b60ef8ca0
air.unimi.it,https://air.unimi.it/handle/2434/742187?msclkid=078520dfcee611ecb16214e7a7c00d2b
air.unimi.it,https://air.unimi.it/retrieve/handle/2434/742187/1495330/EJMECH-D-19-02104R2.pdf?msclkid=215659fecee611ecb2c493cee81e1842
