domain,url
aad.portal.azure.com,https://aad.portal.azure.com/?msclkid=1f8784d3cee511ec984bb59f1ae5d129
aad.portal.azure.com,https://aad.portal.azure.com/?msclkid=acbde5e4cee811eca812842842e90e86
aad.portal.azure.com,https://aad.portal.azure.com/?msclkid=b9bbddc4cee811ec9a6cddddd9a8eeea
abzena.com,https://abzena.com/manufacturing/bioconjugates-manufacturing/manufacturing-capabilities/?msclkid=27cd0976cee711ec90f68e3396f96f47
abzena.com,https://abzena.com/manufacturing/bioconjugates-manufacturing/manufacturing-capabilities/?msclkid=46d1ae5fcee711ec86dbc142644bbe95
access.clarivate.com,https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https%3A%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=http%3A%2F%2Fwww.webofknowledge.com%2F%3Fmsclkid%3D292ba932cee511ec93411ed8c2e03956&referrer=msclkid%3D292ba932cee511ec93411ed8c2e03956&roaming=true
access.clarivate.com,https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https%3A%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=http%3A%2F%2Fwww.webofknowledge.com%2F%3Fmsclkid%3Da2178934cee811ecac2e9d22033e9d45&referrer=msclkid%3Da2178934cee811ecac2e9d22033e9d45&roaming=true
access.clarivate.com,https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https%3A%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=http%3A%2F%2Fwww.webofknowledge.com%2F%3Fmsclkid%3Deb6c8654cee811eca0c18e62d1299996&referrer=msclkid%3Deb6c8654cee811eca0c18e62d1299996&roaming=true
access.clarivate.com,https://access.clarivate.com/login?app=wos&alternative=true&shibShireURL=https%3A%2F%2Fwww.webofknowledge.com%2F%3Fauth%3DShibboleth&shibReturnURL=https%3A%2F%2Fwww.webofknowledge.com%2F%3Fmsclkid%3Dd488fa3dcee811ec9f72289e74f2dd03&referrer=msclkid%3Dd488fa3dcee811ec9f72289e74f2dd03&roaming=true
accr.natboard.edu.in,https://accr.natboard.edu.in/online_user/frontpage.php?v=1&msclkid=edd9745ccee911eca9a6195bfcfc93ea
acs.figshare.com,https://acs.figshare.com/articles/journal_contribution/Enabling_Rapid_and_Accurate_Construction_of_CCSD_T_-Level_Potential_Energy_Surface_of_Large_Molecules_Using_Molecular_Tailoring_Approach/19182391/1?msclkid=731f7eb6cee411ec99c0644257da6692
aetsoft.net,https://aetsoft.net/services/smart-contracts/?msclkid=d4e128c6cee511eca73c8b447c05a290
aetsoft.net,https://aetsoft.net/services/smart-contracts/?msclkid=e29d2146cee511ec9f35e1b7abe3787f
air.unimi.it,https://air.unimi.it/handle/2434/742187?msclkid=078520dfcee611ecb16214e7a7c00d2b
air.unimi.it,https://air.unimi.it/retrieve/handle/2434/742187/1495330/EJMECH-D-19-02104R2.pdf?msclkid=215659fecee611ecb2c493cee81e1842
air.unimi.it,https://air.unimi.it/retrieve/handle/2434/742187/1495330/EJMECH-D-19-02104R2.pdf?msclkid=2fc4a285cee611ec8eb8a02ddbb30ebc
akouos.com,https://akouos.com/wp-content/uploads/2019/09/UPSTREAM-PROCESS-DEVELOPMENT-LEAD.pdf?msclkid=01343b81cee411ecbd620eda63760bdb
amplelogic.com,https://amplelogic.com/pharma-focus/stability-management-software/?msclkid=944ecc3ccee811ec95b9602d07a7133c
anvipharma.com,https://anvipharma.com/hpapi/?msclkid=722ccfe1cee511ecbf2b2efddc3493a4
api.grundfos.com,https://api.grundfos.com/literature/Grundfosliterature-5269384.pdf?msclkid=cc6163afcee911eca75df44298aee57f
app.beapplied.com,https://app.beapplied.com/apply/zbr49m1mh5?msclkid=d4e17096cee511ecb518b8ba34b08be6
app.beapplied.com,https://app.beapplied.com/apply/zbr49m1mh5?msclkid=e29d5167cee511eca5a14347f98391bb
app.beapplied.com,https://app.beapplied.com/apply/zbr49m1mh5?msclkid=ed71cf7bcee511ecab4e15808e9253b0
approcess.com,https://approcess.com/blog/upstream-development-of-a-viral-vectored-vaccine?msclkid=01339dafcee411ecadc5e0ad7f49a6cf
approcess.com,https://approcess.com/blog/upstream-development-of-a-viral-vectored-vaccine?msclkid=ea33d79fcee311ec8b58cd724dbd3e3c
approcess.com,https://approcess.com/blog/upstream-development-of-a-viral-vectored-vaccine?msclkid=f6523f7bcee311ecb6b8ea63d57697a9
ardena.com,https://ardena.com/wp-content/uploads/2019/08/Newsletter-mar-impurity-level.pdf?msclkid=46d238eccee711ec9172a482a437ceb3
ascendiapharma.com,https://ascendiapharma.com/2021/07/05/factors-affecting-drug-solubility/?msclkid=42b20617cee911ec8dcd2df827e236eb
ascendiapharma.com,https://ascendiapharma.com/2021/12/22/gmp-requirements-for-clinical-trial-material/?msclkid=46d251a6cee711ec8471b24188b4a5f0
assets.thermofisher.com,https://assets.thermofisher.com/TFS-Assets/BPD/Reference-Materials/aav-vector-process-development-article.pdf?msclkid=a27265b4cee311ec96d768fe6ff3f1ab
auditonline.aaps.deloitte.com,https://auditonline.aaps.deloitte.com/?msclkid=1f87359ecee511ec9fd4067bae7f7931
bioduro-sundia.com,https://bioduro-sundia.com/manufacturing/drug-substance/?msclkid=887d68e7cee411ecb08c021dbed27144
