domain,keywords,company_name
https://1library.net,"['research and development', 'quality assurance', 'research', 'development', 'solution', 'validation', 'compliance', 'gdp', 'scale', 'tested', 'chemistry', 'syringe', 'capsule', 'api', 'intermediate']",1library
https://3pbio.com,"['recombinant proteins', 'clinical manufacturing', 'analytical development', 'quality assurance', 'cell line', 'development', 'clinical', 'gmp', 'compliance', 'cgmp', 'antibody', 'commercialization', 'research']",3pbio
https://908devices.com,"['capillary electrophoresis ', 'mammalian cell culture', 'capillary electrophoresis', 'monoclonal antibodies', 'small molecule', 'cell line', 'large molecules', 'monoclonal antibody', 'vials ', 'analytical support', 'validation', 'development', 'ms', 'research', 'bioreactor']",908devices
https://99bitcoins.com,"['solution', 'cex', 'ad', 'research', 'sec', 'development', 'tested', 'scale', 'compliance']",99bitcoins
https://abzena.com,"['cell line development', 'mammalian cell culture', 'cell line', 'cell lines', 'drug substance', 'monoclonal antibody', 'clinical development', 'contract development', 'monoclonal antibodies', 'recombinant proteins', 'antibody-drug conjugate', 'analytical development', 'development', 'antibody', 'conjugation']",Abzena
https://academicjournals.org,"['research and development', 'cell lines', 'development', 'research', 'compliance', 'commercialization', 'tested', 'clinical', 'humans', 'toxin', 'solvent', 'ba', 'validation']",Academicjournals
https://adarepharmasolutions.com,"['drug product development', 'clinical trial', 'contract development', 'process optimization', 'solubility enhancement', 'commercial-scale manufacturing', 'bioavailability enhancement', 'development', 'clinical', 'solubility', 'scale', 'cgmp', 'api', 'validation', 'compliance']",Adarepharmasolutions
https://adelphi-hp.com,"['vials ', 'shelf life', 'syringes', 'vial', 'development', 'gmp', 'research', 'cgmp', 'scale', 'commercialization', 'solution', 'clinical']",Adelphi-hp
http://alttox.org,"['research and development', 'cell lines', 'physicochemical properties', 'small molecules', 'monoclonal antibodies', 'monoclonal antibody', 'quality assurance', 'quality control', 'cell line', 'clinical trial', 'research', 'development', 'validation', 'antibodies', 'humans']",Alttox
https://ambrx.com,"['antibody-drug conjugate', 'small molecule', 'monoclonal antibody', 'bispecific antibody', 'clinical development', 'bispecific antibodies', 'antibody conjugate', 'clinical trial', 'antibody', 'clinical', 'development', 'conjugation', 'research', 'adc', 'chemistry']",Ambrx
https://amplelogic.com,"['stability studies', 'stability testing', 'quality control', 'stability study', 'product stability', 'shelf life', 'accelerated stability', 'api manufacturing', 'quality assurance', 'solution', 'compliance', 'ad', 'gmp', 'development', 'deviations']",Amplelogic
https://amubiochemicalsociety.org,"['size exclusion chromatography', 'small molecules', 'recombinant protein', 'fusion protein', 'research', 'humans', 'development', 'enzyme', 'enzymes', 'chemistry', 'antibodies', 'solution', 'clinical', 'scale', 'ice']",Amubiochemicalsociety
https://anvipharma.com,"['research and development', 'api manufacturing', 'quality assurance', 'quality control', 'api development', 'forced degradation', 'development', 'intermediates', 'chemistry', 'cgmp', 'api', 'scale', 'r&d', 'research', 'hplc']",Anvipharma
https://approcess.com,"['downstream process development', 'research and development', 'process characterization', 'cell line', 'large molecules', 'cell lines', 'development', 'gmp', 'scale', 'research', 'clinical', 'chemistry', 'intermediates', 'bioprocess', 'doe']",Approcess
https://ardena.com,"['drug substance development', 'drug substance stability', 'drug substance', 'clinical trial', 'stability testing', 'dissolution rate', 'contract development', 'clinical development', 'analytical development', 'quality control', 'large molecules', 'clinical supply', 'pre-clinical development', 'quality assurance', 'shelf life']",Ardena
https://bioassaysys.com,"['research and development', 'bioassay', 'tested', 'research', 'development', 'solution', 'elisa', 'enzyme', 'ice', 'enzymes', 'chemistry', 'solubility']",Bioassaysys
https://biocentriq.com,"['research and development', 'clinical manufacturing', 'contract development', 'clinical production', 'monoclonal antibodies', 'quality control', 'clinical development', 'clinical trial', 'development', 'clinical', 'research', 'gmp', 'chemistry', 'commercialization', 'r&d']",Biocentriq
https://biodetectionsystems.com,"['quality control', 'cell lines', 'vials ', 'research', 'bioassays', 'development', 'validation', 'clinical', 'r&d', 'enzyme', 'bioassay', 'chemistry', 'enzymes']",Biodetectionsystems
https://bioduro-sundia.com,"['drug product development', 'research and development', 'monoclonal antibody', 'clinical development', 'small molecule', 'drug substance', 'cell line', 'bioavailability enhancement', 'clinical trial', 'recombinant protein', 'small molecules', 'solubility enhancement', 'preclinical services', 'process optimization', 'development']",Bioduro-sundia
https://biologics.catalent.com,"['cell line development', 'drug substance development', 'design of experiment', 'research and development', 'cell line', 'drug substance', 'clinical supply', 'quality control', 'commercial-scale manufacturing', 'monoclonal antibodies', 'clinical development', 'analytical development', 'process characterization', 'clinical trial', 'antibody-drug conjugate']",Catalent
https://bionovascientific.com,"['cell line development', 'mammalian cell culture', 'downstream process development', 'process characterization', 'cell line', 'clinical supply', 'quality control', 'cell lines', 'stability studies', 'quality assurance', 'recombinant protein', 'drug substance', 'product stability', 'clinical manufacturing', 'clinical production']",Bionovascientific
https://bioone.org,"['research and development', 'research', 'development', 'tested', 'scale', 'ms', 'intermediate', 'toxin', 'toxins', 'humans', 'enzymes', 'antibodies', 'linkers', 'deviations', 'iq']",Bioone
https://biopharma-asia.com,"['research and development', 'mammalian cell culture', 'design of experiment', 'scale down model', 'monoclonal antibody', 'process characterization', 'drug substance', 'monoclonal antibodies', 'process validation', 'cell line', 'small molecule', 'recombinant protein', 'clinical development', 'analytical development', 'quality assurance']",Biopharma-asia
https://bioresources.cnr.ncsu.edu,"['research and development', 'research', 'chemistry', 'solvent', 'development', 'scale', 'viscosity', 'intermediates', 'compliance', 'solution', 'humans', 'validation']",Ncsu
